ID_zlecenia,ID_transportu,Data_poczatek,Data_koniec,Skad,Dokad
0,0,2021-06-03,2023-07-26,NULL,16
0,1,2023-07-26,2023-08-12,16,17
0,2,2023-08-12,2024-01-20,17,18
0,3,2024-01-20,2024-01-26,18,11
0,4,2024-01-26,2024-01-29,11,19
0,5,2024-01-29,2024-02-14,19,NULL
4,6,2020-06-04,2020-07-12,NULL,18
4,7,2020-07-12,2022-10-24,18,NULL
5,8,2021-12-27,2023-01-12,NULL,18
5,9,2023-01-12,2023-04-09,18,16
5,10,2023-04-09,2023-04-19,16,13
5,11,2023-04-19,2023-05-08,13,15
5,12,2023-05-08,2023-05-08,15,17
5,13,2023-05-08,2023-05-11,17,19
5,14,2023-05-11,2023-05-11,19,11
6,15,2020-10-21,2021-02-08,NULL,11
6,16,2021-02-08,2022-02-08,11,16
6,17,2022-02-08,2022-05-25,16,13
6,18,2022-05-25,2022-06-01,13,18
6,19,2022-06-01,2022-06-25,18,10
6,20,2022-06-25,2022-06-27,10,12
6,21,2022-06-27,2022-06-29,12,15
6,22,2022-06-29,2022-07-03,15,17
6,23,2022-07-03,2022-07-04,17,NULL
9,24,2022-05-24,2022-08-22,NULL,19
9,25,2022-08-22,2023-01-03,19,17
9,26,2023-01-03,2023-06-02,17,18
9,27,2023-06-02,2023-06-07,18,13
9,28,2023-06-07,2023-06-22,13,15
9,29,2023-06-22,2023-06-29,15,16
9,30,2023-06-29,2023-07-05,16,NULL
10,31,2022-07-11,2022-09-28,NULL,15
10,32,2022-09-28,2022-10-25,15,11
10,33,2022-10-25,2022-11-25,11,17
10,34,2022-11-25,2022-12-05,17,14
10,35,2022-12-05,2022-12-05,14,10
10,36,2022-12-05,2022-12-06,10,12
10,37,2022-12-06,2022-12-09,12,16
10,38,2022-12-09,2022-12-09,16,19
10,39,2022-12-09,2022-12-09,19,13
10,40,2022-12-09,2022-12-09,13,18
11,41,2024-08-23,2024-08-29,NULL,16
11,42,2024-08-29,2024-08-30,16,14
11,43,2024-08-30,2024-09-13,14,15
11,44,2024-09-13,2024-09-13,15,18
11,45,2024-09-13,2024-09-15,18,11
11,46,2024-09-15,2024-09-15,11,19
11,47,2024-09-15,2024-09-15,19,12
11,48,2024-09-15,2024-09-15,12,13
11,49,2024-09-15,2024-09-16,13,NULL
12,50,2022-04-15,2023-09-12,NULL,13
12,51,2023-09-12,2023-09-26,13,11
12,52,2023-09-26,2023-10-10,11,12
12,53,2023-10-10,2023-12-04,12,15
12,54,2023-12-04,2023-12-04,15,25
12,55,2023-12-04,2023-12-06,25,17
12,56,2023-12-06,2023-12-08,17,16
